username,tweet_url,full_text,label
TopanTj,https://x.com/TopanTj/status/1790236890228195631,@lhayesno Matematika yg lain akan lebih detail &amp; proporsional dlm mengurai biaya pemakaian BBM dn charging listriknya.,positif
tanyakanrl,https://x.com/tanyakanrl/status/1774048999600996822,Tanyarl guys kalo ortu pns gaji 5 juta punya mobil dan motor terus bayar listrik mahal kira kira ukt bakal tambah tinggi gakk?? kan pengeluarannya juga byk Makasihh,netral
diyasprdn,https://x.com/diyasprdn/status/1785286292127006880,@ridwanhr 299.999.999 kan ini,netral
NurrohmahL47510,https://x.com/NurrohmahL47510/status/1789154365653368969,@NOTASLIMBOY Pake mobil listrik ternyata repot om,negatif
SINDOnews,https://x.com/SINDOnews/status/1794133302963732660,Elon Musk Berbalik Arah Menentang AS Soal Lonjakan Tarif Impor Mobil Listrik China https://t.co/kN27ZnZFVx,netral
suvcly,https://x.com/suvcly/status/1789026216999285234,Sampai hari ini tercatat telah ada 1.370 unit Stasiun Pengisian Kendaraan Listrik Umum (SPKLU) 9.886 Stasiun Pengisian Listrik Umum (SPLU) dan 2.182 Stasiun Penukaran Baterai Listrik Umum (SPBKLU). #PLNuntukIndonesia #PLN #Info https://t.co/eEfz3YLZkW,positif
katadataoto,https://x.com/katadataoto/status/1785625789486272981,Dukung ekosistem mobil listrik Voltron dan Living World Alam Sutera dirikan SPKLU di pusat perbelanjaan https://t.co/8xcZYRAL4R,positif
WulingMotorsID,https://x.com/WulingMotorsID/status/1787029465362571497,Memiliki mobil listrik seperti Wuling EV di Indonesia dapat menjadi investasi cerdas untuk masa depan yang lebih hijau dan hemat biaya karena adanya subsidi yang diberikan. #WulingMotors #DriveForABetterLife https://t.co/P6eglZbHNl,positif
detikcom,https://x.com/detikcom/status/1747243806125076859,Faktanya mobil hybrid penjualannya lebih besar daripada mobil listrik. Kenapa demikian? https://t.co/ECdRd1kruq,negatif
Rizxfa,https://x.com/Rizxfa/status/1787238775523082663,Pelan pelan org org di giring untuk pake mobil listrik mulai dari bbm yg langkah. Subsidi mobil listrik + pajak murah. Marketing berkedok edukasi tentang mobil listrik bebas emisi padahal limbah batrai lebih bahaya. Semuanya hanya untuk memuaskan perut penguasa..,negatif
cnbcindonesia,https://x.com/cnbcindonesia/status/1779399476287045901,Terobosan Baru Baterai Mobil Listrik Toyota Bisa Tempuh 1.200 KM https://t.co/oBYGD572YQ,positif
SINDOnews,https://x.com/SINDOnews/status/1794979994877448604,Punya Nilai Jual Tinggi Kabel Cas Mobil Listrik Jadi Incaran Pencuri https://t.co/fup8ltJ7Ku,negatif
RidNgemil,https://x.com/RidNgemil/status/1785332187346456687,@ridwanhr Mobil2 listrik dgn budget murah gini durabilitynya gimana ya? Kalo dr sisi harga yg affordable kan targetnya menengah. Faktor durable service &amp; resale value masih jadi concern. Kalo maintenance murah harusnya laris manis sik ini. Solusi bbm yg makin mahal.,positif
kompascom,https://x.com/kompascom/status/1795964484655395264,Video Wuling Mini EV hindari kecelakaan berujung masuk kali dan malah mengapung di permukaan air kali. https://t.co/B1FAHTKORT,netral
okezonenews,https://x.com/okezonenews/status/1784827593545728000,Harga Mobil Listrik BMW i5 Resmi Diumumkan Mulai Rp2 Miliaran Off The Road https://t.co/8Ko2aLEmdk,netral
kumparan,https://x.com/kumparan/status/1790548799372583425,Berita populer kumparanOTO Selasa (14/5) mobil listrik baru Shin Tae-yong harga jip tiruan Rubicon BAIC BJ40 di Indonesia. #kumparanOTO https://t.co/Cyfa06dHbM,netral
kumparan,https://x.com/kumparan/status/1792737478430085349,Banjir merek China Hyundai akui ogah ikut perang harga buat jual mobil listrik di Indonesia. #kumparanOTO https://t.co/OPJVS4hseV,negatif
detikoto,https://x.com/detikoto/status/1795345220483293252,GAC AION: Sudah Waktunya Taksi di Indonesia Gunakan Mobil Listrik https://t.co/0Q9jMFVZQF,positif
detikcom,https://x.com/detikcom/status/1772901873722531990,BMW merilis generasi kedelapan seri 5 lewat i5 eDrive40 M Sport. Begini spesifikasi lengkap dari BMW i5 eDrive40 M Sport yang harganya masih rahasia itu. https://t.co/8thJXCa2An,netral
ikhwanuddin,https://x.com/ikhwanuddin/status/1774087942258262179,pajaknya buat subsidi mobil listrik ,negatif
detikcom,https://x.com/detikcom/status/1752180334093832536,Seluruh mobil listrik BYD yang dijual di Indonesia menggunakan baterai LFP. Adakah kemungkinan mereka menggunakan baterai nikel? https://t.co/5ju6tkixJR,netral
idx_channel,https://x.com/idx_channel/status/1754711512512414090,Airlangga Hartarto Jadi Pembeli Pertama Mobil Listrik dengan Baterai Nikel Mobil Apa? https://t.co/oqAAbQ5Zej,netral
